都道府県名,人口,年
北海道,5093983,2024
青森県,1205578,2024
岩手県,1172349,2024
宮城県,2242389,2024
秋田県,924620,2024
山形県,1027509,2024
福島県,1795219,2024
茨城県,2865690,2024
栃木県,1916787,2024
群馬県,1919232,2024
埼玉県,7378639,2024
千葉県,6310158,2024
東京都,13911902,2024
神奈川県,9208688,2024
新潟県,2137672,2024
富山県,1019004,2024
石川県,1109226,2024
福井県,752390,2024
山梨県,806369,2024
長野県,2028135,2024
岐阜県,1967862,2024
静岡県,3606469,2024
愛知県,7500882,2024
三重県,1757527,2024
滋賀県,1410534,2024
京都府,2488075,2024
大阪府,8775708,2024
兵庫県,5426863,2024
奈良県,1315207,2024
和歌山県,913297,2024
鳥取県,540207,2024
島根県,650624,2024
岡山県,1851125,2024
広島県,2750540,2024
山口県,1310109,2024
徳島県,710012,2024
香川県,948585,2024
愛媛県,1312298,2024
高知県,675623,2024
福岡県,5095379,2024
佐賀県,801051,2024
長崎県,1289994,2024
熊本県,1728098,2024
大分県,1112827,2024
宮崎県,1058710,2024
鹿児島県,1576361,2024
沖縄県,1485669,2024
