都道府県名,人口,年
北海道,5228732,2021
青森県,1260067,2021
岩手県,1221205,2021
宮城県,2282106,2021
秋田県,971604,2021
山形県,1070017,2021
福島県,1862777,2021
茨城県,2907678,2021
栃木県,1955402,2021
群馬県,1958185,2021
埼玉県,7393849,2021
千葉県,6322897,2021
東京都,13843525,2021
神奈川県,9220245,2021
新潟県,2213353,2021
富山県,1047713,2021
石川県,1132656,2021
福井県,774596,2021
山梨県,821094,2021
長野県,2072219,2021
岐阜県,2016868,2021
静岡県,3686335,2021
愛知県,7558872,2021
三重県,1800756,2021
滋賀県,1418886,2021
京都府,2530609,2021
大阪府,8839532,2021
兵庫県,5523627,2021
奈良県,1344952,2021
和歌山県,944750,2021
鳥取県,556959,2021
島根県,672979,2021
岡山県,1893874,2021
広島県,2812477,2021
山口県,1356144,2021
徳島県,735070,2021
香川県,973922,2021
愛媛県,1356343,2021
高知県,701531,2021
福岡県,5124259,2021
佐賀県,818251,2021
長崎県,1336023,2021
熊本県,1758815,2021
大分県,1141784,2021
宮崎県,1087372,2021
鹿児島県,1617850,2021
沖縄県,1485484,2021
