都道府県名,人口,年
北海道,5139913,2023
青森県,1225497,2023
岩手県,1189670,2023
宮城県,2257472,2023
秋田県,941021,2023
山形県,1042396,2023
福島県,1818581,2023
茨城県,2879808,2023
栃木県,1929434,2023
群馬県,1930976,2023
埼玉県,7381035,2023
千葉県,6310075,2023
東京都,13841665,2023
神奈川県,9212003,2023
新潟県,2163908,2023
富山県,1028440,2023
石川県,1117303,2023
福井県,759777,2023
山梨県,812615,2023
長野県,2043798,2023
岐阜県,1982294,2023
静岡県,3633773,2023
愛知県,7512703,2023
三重県,1772427,2023
滋賀県,1413989,2023
京都府,2501269,2023
大阪府,8784421,2023
兵庫県,5459867,2023
奈良県,1325385,2023
和歌山県,924469,2023
鳥取県,546558,2023
島根県,658809,2023
岡山県,1865478,2023
広島県,2770623,2023
山口県,1326218,2023
徳島県,718879,2023
香川県,956787,2023
愛媛県,1327185,2023
高知県,684964,2023
福岡県,5104921,2023
佐賀県,806877,2023
長崎県,1306060,2023
熊本県,1737946,2023
大分県,1123525,2023
宮崎県,1068838,2023
鹿児島県,1591699,2023
沖縄県,1485526,2023
